Gold (OG|GC) G1MQ6 (2.47 DTE) vs 4076.6 (+0) - Intraday Volume
Put: 0 Call: 0 Vol: 14.14 Vol Chg: -0.01 Future Chg: 0
Strike,Call,Put,Vol Settle
3940,0,0,0.20377766051342405
3945,0,0,0.20032056496665973
3950,0,0,0.1969010379939391
3955,0,0,0.19352657090712455
3960,0,0,0.19020442052396902
3965,0,0,0.1869416091963103
3970,0,0,0.18374492476959858
3975,0,0,0.18062092062427837
3980,0,0,0.17757591563895403
3985,0,0,0.1746159942149461
3990,0,0,0.17174700627265338
3995,0,0,0.16897456722927018
4000,0,0,0.16630405804517068
4005,0,0,0.16374062517070342
4010,0,0,0.16128918057984265
4015,0,0,0.1589544017665503
4020,0,0,0.15674073172976932
4025,0,0,0.15465237898933992
4030,0,0,0.15269331757554028
4035,0,0,0.15086728704773122
4040,0,0,0.1491777924584312
4045,0,0,0.14762810439060559
4050,0,0,0.14622125892765325
4055,0,0,0.14496005769433395
4060,0,0,0.1438470677976511
4065,0,0,0.142884621878693
4070,0,0,0.14207481809717137
4075,0,0,0.1414195201068651
4080,0,0,0.14092035710200435
4085,0,0,0.14057872376542946
4090,0,0,0.14039578032407007
4095,0,0,0.1403724524889185
4100,0,0,0.1405094315041424
4105,0,0,0.14080717413526145
4110,0,0,0.14126590264277183
4115,0,0,0.14188560481397872
4120,0,0,0.14266603394571575
4125,0,0,0.14360670886253502
4130,0,0,0.14470691388760315
4135,0,0,0.14596569886089128
4140,0,0,0.14738187914463197
4145,0,0,0.14895403561968124
4150,0,0,0.1506805146655097
4155,0,0,0.15255942818930635
4160,0,0,0.15458865360960772
4165,0,0,0.15676583386630227
4170,0,0,0.1590883773887981
4175,0,0,0.16155345815877808
4180,0,0,0.1641580156483542
4185,0,0,0.1668987548446239
4190,0,0,0.16977214625876513
4195,0,0,0.17277442591239378
4200,0,0,0.17590159534211125
4205,0,0,0.17914942159586644
4210,0,0,0.18251343724750768
4215,0,0,0.18598894037586433
4220,0,0,0
