Gold (OG|GC) G2MQ6 (6.64 DTE) vs 4085.7 (+25.4) - Open Interest
Put: 457 Call: 364 Vol: 18.91 Vol Chg: -0.02 Future Chg: 25.4
Strike,Call,Put,Vol Settle
3800,0,24,0.2524252588626723
3825,0,2,0.24144226972566685
3850,0,6,0.23184754044814326
3875,0,33,0.22346709928660857
3900,0,142,0.21615055184292942
3925,0,4,0.20977108106160358
3950,0,15,0.20422544723282954
3975,0,57,0.1994339879885274
4000,0,61,0.1953406183071138
4025,0,14,0.1919128305086133
4050,0,1,0.18914169425943328
4075,1,2,0.1870418565675891
4100,45,0,0.1856515417864557
4125,23,2,0.1850325516132898
4150,135,7,0.1852702650885476
4175,14,0,0.18647363859838606
4200,20,1,0.18877520587045638
4225,17,0,0.19233107797822413
4250,25,0,0.19732094333858186
4275,3,0,0.20394806771366802
4300,14,0,0.21243929420541008
4325,20,0,0
4350,8,0,0
4375,2,0,0
4400,3,0,0
