Soybean Meal (OZM|ZM) OZMV6 (24.61 DTE) vs 338 (-0.6) - Open Interest
Put: 22,992 Call: 40,682 Vol: 23.85 Vol Chg: -0.19 Future Chg: -0.6
Strike,Call,Put,Vol Settle
285,0,565,0
290,10,706,0
295,16,1030,0
300,1398,3312,0.24176196378127202
304,0,463,0.2317739885581247
305,234,979,0.2297788132129739
306,0,113,0.22797165671457265
307,0,156,0.22634633686470096
308,0,215,0.22489676979141393
309,0,277,0.22361696994881441
310,2195,2863,0.2225010501170388
311,0,366,0.22154322140227833
312,0,223,0.22073779323712728
313,0,177,0.2200791733799079
314,0,85,0.2195618679153526
315,1129,1179,0.21918048125395728
316,1,33,0.2189297161326067
317,0,62,0.21880437361426885
318,0,83,0.21879935308780318
319,0,56,0.21890965226824477
320,2597,933,0.21913036719697487
321,4,209,0.21945669224106723
322,0,35,0.21988392009409097
323,0,91,0.22040744177537874
324,54,563,0.22102274663060228
325,1199,837,0.22172542233143133
326,23,29,0.22251115487557627
327,0,12,0.22337572858700128
328,16,24,0.2243150261157112
329,10,6,0.22532502843768043
330,6394,805,0.22640181485514432
331,0,9,0.2275415629964712
332,0,19,0.22874054881587114
333,3,37,0.22999514659399267
334,52,51,0.2313018289372195
335,2178,212,0.23265716677848758
336,106,11,0.23405782937640396
337,0,26,0.23550058431585796
338,72,24,0.2369822975078506
339,25,11,0.23849993318948748
340,2594,349,0.24005055392395747
341,0,25,0.24163132060048298
342,100,10,0.2432394924344905
343,1,0,0.24487242696746137
344,0,0,0.24652758006692466
345,774,25,0.24820250592661353
346,0,10,0.24989485706630177
347,0,0,0.25160238433181803
348,1,0,0.25332293689525187
349,1,0,0.2550544622544848
350,9701,79,0.25679500623391505
351,0,0,0.2585427129837399
352,0,0,0.2602958249801972
353,0,0,0.2620526830259564
354,0,0,0.26381172624952853
355,601,11,0.26557149210565
356,0,0,0.2673306163749629
357,0,0,0.26908783316437734
358,0,0,0.27084197490702877
359,0,0,0.2725919723618233
360,1375,14,0.2743368546139777
365,139,7,0.2829574386435638
370,4570,47,0.2913610428913813
375,197,150,0.2995369198667248
380,1689,1119,0.30753577589165104
385,125,11,0.31546977110004093
390,208,0,0.32351251943869386
395,111,0,0.3318990886664608
400,369,0,0.3409260003545853
405,40,0,0.35095122988704475
