Silver (SO|SI) SOU6 (22.64 DTE) vs 58.935 (+1.079) - Open Interest
Put: 9,922 Call: 20,828 Vol: 40.74 Vol Chg: 0.15 Future Chg: 1.079
Strike,Call,Put,Vol Settle
43.25,0,7,0
43.5,0,13,0
43.75,0,16,0
44,0,65,0.5602082593095352
44.25,0,14,0.5549343842713029
44.5,0,0,0.5497457359675122
44.75,1,0,0.544643020570391
45,1,261,0.5396269213006182
45.25,0,8,0.5346980984273251
45.5,1,5,0.5298571892680959
45.75,0,31,0.5251048081889711
46,0,28,0.5204415466044425
46.25,0,14,0.5158679729774529
46.5,0,5,0.5113846328194009
46.75,0,4,0.5069920486901363
47,0,40,0.5026907201979653
47.25,0,5,0.4984811239996445
47.5,1,48,0.494363713800382
47.75,0,7,0.4903389203538442
48,0,131,0.4864071514621453
48.25,0,41,0.48256879197585634
48.5,1,35,0.4788242037940005
48.75,0,13,0.4751737258640505
49,2,216,0.47161767418193734
49.25,0,29,0.46815634179204557
49.5,0,87,0.4647899987872064
49.75,0,39,0.46151889230871035
50,7,622,0.4583432465462991
50.25,1,105,0.4552632627381663
50.5,1,53,0.45227911917096075
50.75,0,48,0.449390971179781
51,1,139,0.4465989511481834
51.25,0,27,0.44390316850817557
51.5,0,39,0.44130370974021504
51.75,0,53,0.4388006383732168
52,0,201,0.4363939949845468
52.25,0,132,0.4340837972000251
52.5,0,64,0.4318700396939237
52.75,0,84,0.42975269418897
53,0,191,0.4277317094563424
53.25,1,15,0.42580701131567
53.5,0,247,0.42397850263504155
53.75,0,66,0.42224606333099546
54,1,153,0.42060955036852254
54.25,3,12,0.41906879776106454
54.5,2,36,0.41762361657052205
54.75,7,98,0.41627379490724525
55,9,536,0.4150190979300392
55.25,0,10,0.4138592678461599
55.5,1,82,0.4127940239113168
55.75,3,25,0.4118230624296739
56,34,185,0.41094605675384877
56.25,1,20,0.4101626572849084
56.5,12,42,0.4094724914723784
56.75,3,62,0.4088751638142316
57,72,194,0.40837025585689934
57.25,26,52,0.4079573261952616
57.5,88,95,0.4076359104726568
57.75,7,20,0.4074055213808694
58,72,121,0.4072656486601427
58.25,10,66,0.4072157590991714
58.5,25,77,0.4072552965351015
58.75,20,18,0.40738368185353746
59,97,217,0.40760031298853017
59.25,63,24,0.4079045649225872
59.5,23,11,0.408295789686667
59.75,30,20,0.40877331636018654
60,423,749,0.40933645107101047
60.25,20,17,0.40998447699545704
60.5,14,29,0.4107166543583003
60.75,13,10,0.41153222043276605
61,232,135,0.4124303895405337
61.25,40,24,0.4134103530517321
61.5,90,30,0.4144712793849492
61.75,26,35,0.4156123140072241
62,260,158,0.4168325794340455
62.25,62,91,0.41813117522936105
62.5,129,1,0.41950717800556436
62.75,42,30,0.4209596414235093
63,203,71,0.4224875961924992
63.25,31,3,0.42409005007029066
63.5,31,9,0.4257659878630933
63.75,25,1,0.4275143714255716
64,146,56,0.4293341396608392
64.25,35,5,0.4312242085204696
64.5,66,2,0.4331834710044822
64.75,57,1,0.43521079716135347
65,1014,240,0.4373050340880136
65.25,16,5,0.4394650059298426
65.5,28,41,0.4416895138806769
65.75,25,7,0.44397733618280544
66,146,41,0.44632722812696635
66.25,19,15,0.4487379220523575
66.5,64,0,0.4512081273466233
66.75,19,0,0.4537365304458687
67,760,560,0.4563217948346443
67.25,18,0,0.4589625610459578
67.5,151,1,0.4616574466612686
67.75,91,0,0.4644050463104916
68,406,23,0.4672039316719916
68.25,27,0,0.47005265147258957
68.5,67,3,0.47294973148756014
68.75,81,0,0.4758936745406199
69,128,34,0.47888296050395596
69.25,42,0,0.4819160462981982
69.5,33,0,0.4849913658924354
69.75,71,15,0.48810733030419673
70,1146,200,0.49126232759948074
70.25,35,0,0.49445472289272985
70.5,15,2,0.4976828583468409
70.75,21,5,0.5009450531731652
71,188,21,0.5042396036315067
71.25,79,26,0.5075647830301238
71.5,36,0,0.5109188417257204
71.75,29,29,0.5143000071234631
72,313,81,0.5177064836769771
72.25,3,0,0.5211364528883173
72.5,101,0,0.524588073308017
72.75,10,0,0.5280594805350463
73,466,182,0.5315487872168365
73.25,11,0,0.5350540830492614
73.5,45,0,0.5385734347766711
73.75,17,0,0.5421048861918427
74,330,27,0.5456464581360203
74.25,5,0,0.5491961484988996
74.5,12,2,0.5527519322186265
74.75,12,0,0.5563117612817976
75,1034,19,0.5598735647234783
75.25,20,0,0.5634352486271652
75.5,19,44,0.5669946961248211
75.75,14,0,0.5705497673968551
76,101,29,0.5740982996721424
76.25,12,0,0.5776381072279992
76.5,17,16,0.5811669813901919
76.75,8,0,0.5846826905329507
77,59,9,0.5881829800789617
77.25,18,0,0.5916655724993465
77.5,101,0,0.5951281673136872
77.75,0,5,0.5985684410900305
78,13,33,0.6019840474448657
78.25,10,0,0.6053726170431357
78.5,0,0,0.6087317575982389
78.75,0,0,0.6120590538720254
79,64,3,0.6153520676747988
79.25,1,0,0.6186083378653144
