Gold (OG|GC) OGV6 (23.22 DTE) vs 4389.5 (-57.3) - Open Interest
Put: 62,441 Call: 124,970 Vol: 22.85 Vol Chg: 0.93 Future Chg: -57.3
Strike,Call,Put,Vol Settle
3690,0,39,0
3695,0,68,0
3700,1,749,0
3705,0,31,0
3710,0,12,0
3715,0,220,0
3720,0,43,0
3725,0,116,0
3730,0,30,0
3735,0,91,0
3740,0,35,0
3745,2,41,0
3750,0,661,0
3755,0,212,0
3760,0,211,0
3765,0,200,0
3770,0,35,0
3775,0,209,0
3780,0,17,0
3785,0,34,0
3790,0,23,0
3795,1,33,0
3800,5,1716,0
3805,0,308,0
3810,0,47,0
3815,0,61,0
3820,0,69,0
3825,1,63,0
3830,0,16,0
3835,0,19,0
3840,0,36,0.28868158425985513
3845,0,34,0.28711408376241465
3850,0,1090,0.28556901361798026
3855,0,23,0.2840462123399412
3860,0,95,0.2825455190912667
3865,0,47,0.2810667736844934
3870,4,23,0.2796098165817149
3875,2,285,0.2781744888946598
3880,0,49,0.27676063238450865
3885,0,74,0.27536808946213576
3890,1,55,0.2739967031878834
3895,0,27,0.2726463172717377
3900,106,2022,0.271316776073224
3905,0,58,0.27000792460143863
3910,1,81,0.2687196085150596
3915,0,9,0.26745167412230586
3920,0,106,0.2662039683810349
3925,0,91,0.26497633889856687
3930,0,41,0.2637686339319103
3935,13,55,0.26258070238756126
3940,1,107,0.2614123938216171
3945,2,62,0.2602635584397248
3950,36,501,0.25913404709713106
3955,1,74,0.25802371129866586
3960,24,494,0.25693240319866817
3965,1,69,0.2558599756011155
3970,0,130,0.25480628195947297
3975,3,200,0.2537711763768957
3980,11,45,0.25275451360597145
3985,1,44,0.25175614904897436
3990,1,69,0.2507759387576858
3995,0,150,0.2498137394334865
4000,120,1550,0.2488694084272982
4005,2,33,0.24794280373961897
4010,0,62,0.24703378402057297
4015,7,26,0.2461422085697773
4020,25,127,0.24526793733645746
4025,85,210,0.24441083091939397
4030,84,220,0.2435707505669562
4035,40,47,0.2427475581770988
4040,4,102,0.24194111629728887
4045,13,73,0.24115128812462316
4050,94,796,0.24037793750573222
4055,10,51,0.23962092893685316
4060,142,101,0.2388801275637178
4065,24,52,0.23815539918171424
4070,29,180,0.23744661023579638
4075,32,478,0.23675362782040388
4080,34,59,0.23607631967963982
4085,5,25,0.23541455420712865
4090,120,237,0.2347682004460765
4095,6,72,0.23413712808926235
4100,952,1977,0.23352120747903626
4105,193,188,0.23292030960730514
